k,inertia,silhouette
2,127785.007565318,0.21003302619400557
3,111986.69806610116,0.25055570796307886
4,99073.93826774802,0.19760744927207083
5,91502.98259428886,0.19316885901546477
6,84852.52453868247,0.20263931739848942
7,79532.32854113252,0.21503808606365485
8,76050.70276210425,0.20809196271641897
9,71087.2678752298,0.21491164038358904
10,66612.69244066937,0.22051811206840224
